Title,Year,"Venue
(See Abbr -> Col-Q)",Paper URL,Feature Attribution (FIM),Probing (PRB),Tuple/Graph (TUP),Space Map (SPM),Rule/Grammar (RUL),Free Text (FRT),Concept/Sense (CPT),Example (EXP),Trigger (TRG),Word Cloud (WCL),Images (IMG),Confidence Score (CFD)
Generating question relevant captions to aid visual question answering,2019,ACL,https://arxiv.org/pdf/1906.00513.pdf,"Visualize: Figure 4 & 5.
Description: ""An example of caption attention adjustment.
The question-relevant caption helps the VQA module
adjust the visual attention from both the yellow board
and the blue sail to the yellow board only.""",,,,,"Visualize: Figure 1 & 4 & 5.
Description: ""Examples of our generated question-relevant
captions. During the training phase, our model selects
the most relevant human captions for each question
(marked by the same color).""",,,,,,
Generating Token-Level Explanations for Natural Language Inference,2019,NAACL,https://arxiv.org/pdf/1904.10717.pdf,"Visualize: Figure1.
Description: "": Example of token-level highlights from the eSNLI dataset (Camburu et al., 2018). Annotators were provided a premise and hypothesis and asked to highlight words considered essential to explain the label.""",,,,,,,,,,,
GEval: Tool for Debugging NLP Datasets and Models,2019,BlackboxNLP,https://www.aclweb.org/anthology/W19-4826.pdf,"Visualize: Figure1.
Description: ""Text with highlighted words.""",,,,,,,,,,,"Precition Confidence
Visualize: Figure1.
Description: ""LIME visualization of influence of tokens on final results."""
Global model interpretation via recursive partitioning,2018,IEEE 4th International Conference on Data Science and Systems (HPCC/SmartCity/DSS),https://arxiv.org/pdf/1802.04253.pdf,,,"Visualize: Figure 1 & 3.
Description: ""Work flow of global model interpretation"".
""Interaction trees learned for scene categories ”living room”, ”kitchen”, ”bedroom”, and ”bathroom”.""",,,,,,,,,
GLUCOSE: GeneraLized and COntextualized Story Explanations,2020,EMNLP,https://arxiv.org/pdf/2009.07758.pdf,,,,,"Visualize: Table 1.
Description: ""To construct GLUCOSE,
we drew on cognitive psychology to identify
ten dimensions of causal explanation, focusing on events, states, motivations, and emotions. Each GLUCOSE entry includes a storyspecific causal statement paired with an inference rule generalized from the statement.""",,,,,,,
Guiding the Flowing of Semantics: Interpretable Video Captioning via POS Tag,2019,EMNLP,https://pdfs.semanticscholar.org/7ad5/4b109a09925c5d8a55626b3221cbcdc1b019.pdf?_ga=2.86329368.1462757726.1607192920-2086044498.1602862197,,,,,,,"Visualize: Figure 1 & 4 & 5.
Description: ""Visualization of the sampled video frames, the neuron activations associated with the POS tags, the weights of the sentinel gate, the generated captions, and the real POS tags of the captions.""",,,,,
HEIDL: Learning Linguistic Expressions with Deep Learning and Human-in-the-Loop,2019,ACL,https://www.aclweb.org/anthology/P19-3023.pdf,,,,,"Visualize: Figure2.
Description: ""We demonstrate HEIDL, a prototype HITLML system that exposes the machine-learned
model through high-level, explainable linguistic expressions formed of predicates representing semantic structure of text.""",,,"Visualize: Figure1.
Description: ""examples for each expression""",,,,
"HotpotQA: A Dataset for Diverse, Explainable Multi-hop Question Answering",2018,EMNLP,https://www.aclweb.org/anthology/D18-1259.pdf,"Visualize: Figure1. Table3.
Description: "" An example of the multi-hop questions in
HOTPOTQA. We also highlight the supporting facts in
blue italics, which are also part of the dataset.""",,,,,,,,,,,
"How contextual are contextualized word representations? Comparing the geometry of BERT, ELMo, and GPT-2 embeddings",2019,EMNLP-IJCNLP,https://arxiv.org/pdf/1909.00512.pdf,,"Description: ""To answer this question, we can measure a sentence’s intra-sentence
similarity. Recall from Definition 2 that the intrasentence similarity of a sentence, in a given layer
of a given model, is the average cosine similarity
between each of its word representations and their
mean, adjusted for anisotropy""",,"""we find that the contextualized representations of all words are not isotropic in any layer of the contextualizing model. While representations of the same word in different contexts still have a greater cosine similarity than those of two different words, this self-similarity is much lower in upper layers. This suggests that upper layers of contextualizing models produce more context-specific representations""",,,,,,,,
How do Decisions Emerge across Layers in Neural Models? Interpretation with Differentiable Masking,2020,EMNLP,https://arxiv.org/pdf/2004.14992.pdf,"Visualize: Figure 2.
Description: ""DIFFMASK learns to maskout subsets of the input while maintaining differentiability. The decision to include or disregard an input token is made with a simple model based on intermediate hidden layers of the analyzed model. """,,,,,,,,,,,
How Important is a Neuron,2019,ICLR,https://arxiv.org/pdf/1805.12233.pdf,"Visualize: Figure 4 & 5.
Description: “Sentences with high conductance for filters that have high conductance for the phrase “not good”. These filters capture negation, diminishing, and show some stray errors”",,,,,,,,,,,
How much should you ask? On the question structure in QA systems,2018,BlackboxNLP,https://arxiv.org/pdf/1809.03734.pdf,"Description: ""We use LIME in QA model for determining
which parts of question are substantial for obtaining right answer.""",,,,,,,,,,,
How Useful Are the Machine-Generated Interpretations to General Users? A Human Evaluation on Guessing the Incorrectly Predicted Labels,2020,HCOMP,https://arxiv.org/abs/2008.11721,"Visualize: Figure1, Figure2.
Description: "" Examples of five types of errors in image classification. The visual interpretations are generated by three
existing interpreters""",,,,,,,,,,,
Human Attention in Visual Question Answering: Do Humans and Deep Networks look at the same regions?,2016,EMNLP,https://www.aclweb.org/anthology/D16-1092.pdf,"Visualize: Figure 1 & 2 & 3 & 4.
Description: ""we introduce the VQA-HAT (Human ATtention)
dataset. We evaluate attention maps generated
by state-of-the-art VQA models against human attention both qualitatively (via visualizations) and quantitatively (via rank-order correlation).""",,,,,,,,,,,
Human Attention Maps for Text Classification: Do Humans and Neural Networks Focus on the Same Words?,2020,ACL,https://www.aclweb.org/anthology/2020.acl-main.419.pdf,"Visualize: Figure1.
Description: ""Examples of binary human attention (blue in
top two texts) and continuous machine attention (red in
bottom text)""

Visualize: Figure2.
Description: ""User interface we used for data collection on
Amazon Mechanical Turk.""",,,,,,,,,,,
Human-grounded Evaluations of Explanation Methods for Text Classification,2019,EMNLP-IJCNLP,https://www.aclweb.org/anthology/D19-1523.pdf,"Visualize: Figure2, Table3.
Description: ""Explanation: an ordered list of text fragments (words or n-grams) in
the input text which are most relevant to a prediction. Explanations for and against the predicted
class are called evidence and counter-evidence,
respectively. (3) (Local) explanation method: a
method producing an explanation for a model and
an input text. (4)""",,,,,,,,,,,
"Identification, interpretability, and Bayesian word embeddings",2019,NAACL,https://www.aclweb.org/anthology/W19-2102.pdf,,,,,,,"Visualize:  Table 1 & 2.
Description:  
""Social scientists have recently turned to analyzing text using tools from natural language processing like word embeddings to measure concepts like ideology, bias, and affinity""
""This method can be applied to as many
words/concepts as the user is interested in (as the
automated cosine similarity will handle the other
dimensions)""",,,,,
Identifying and Controlling Important Neurons in Neural Machine Translation,2019,ICLR,https://arxiv.org/pdf/1811.01157.pdf,"Visualize: Table 3.
Description: ""The next figure visualizes the most predictive neuron in an English-Spanish model. It activates positively (red) inside parentheses and negatively (blue) outside. Similar neurons were found in RNN language models (Karpathy et al., 2015). Next we consider more complicated linguistic properties.""",,,,,,,,,,,
Imparting Interpretability to Word Embeddings while Preserving Semantic Structure,2018,"IEEE/ACM Transactions on Audio, Speech, and Language Processing",https://arxiv.org/pdf/1807.07279.pdf,,,,,,,"Visualize: Table 1 & 3 & 4.
Description: ""We introduce an additive
modification to the objective function of the embedding learning
algorithm that encourages the embedding vectors of words that
are semantically related to a predefined concept to take larger
values along a specified dimension, while leaving the original
semantic learning mechanism mostly unaffected. In other words,
we align words that are already determined to be related, along
predefined concepts. """,,,,,
Improving Abstractive Document Summarization with Salient Information Modeling,2019,ACL,https://www.aclweb.org/anthology/P19-1205.pdf,"Visualize: Table1 & 3.
Description: "" Example of a document and its corresponding reference summary. We consider the reference summary contains all salient information and mark the
words or phrases appearing in the document in [red].""",,,,,,,,,,,
Interpretable emoji prediction via label-wise attention LSTMs,2018,EMNLP,https://www.aclweb.org/anthology/D18-1508.pdf,"Visualize: Figure 3 & 4.
Description: "" Attention weights α and αl of single and
label-wise attentive models.""",,,,,,,,,,,
Interpretable Entity Representations through Large-Scale Typing,2020,EMNLP,https://arxiv.org/pdf/2005.00147.pdf,,,,,,,"Visualize: Figure1.
Description: ""Our representations are vectors whose values correspond to posterior probabilities over finegrained entity types, indicating the confidence
of a typing model’s decision that the entity
belongs to the corresponding type.""
""Interpretable entity representations. (1) A mention and its context are fed into (2) an embedding model.
(3) An entity embedding vector consists of probabilities for corresponding types""",,,,,
Interpretable Multi-dataset Evaluation for Named Entity Recognition,2020,EMNLP,https://arxiv.org/pdf/2011.06854.pdf,"Visualize: Figure 6.
Description: ""The relative increase of the larger-context method
on five datasets12 based on eight evaluation attributes.'",,"Spider diagram
Visualize: Figure4.
Description: "" Dataset biases characterized by measures ζ and ρ. We normalize ζ on each attribute by dividing the maximum ζ on six datasets, and ρ ∈ [0, 1].""",,,,,,,,,
Interpretable Neural Architectures for Attributing an Ad’s Performance to its Writing Style,2018,BlackboxNLP,https://www.aclweb.org/anthology/W18-5415.pdf,"Visualize: Figure3.
Description: "" This paper presents two methods for performance attribution: finding the degree to which an outcome can be attributed to parts of a text while
controlling for potential confounders1.""",,,,,,,,,,,
Interpretable neural predictions with differentiable binary variables,2019,ACL,https://www.aclweb.org/anthology/P19-1284v1.pdf,"Visualize: Figure1 & 6.
Description: "" Rationale extraction for a beer review.""
""Example of HardKuma attention between a
premise (rows) and hypothesis (columns) in SNLI""",,,,,,,,,,,
Interpretable Question Answering on Knowledge Bases and Text,2019,ACL,https://www.aclweb.org/anthology/P19-1488.pdf,"Description:""We explore interpretability in the context of
QA on a combination of KB and text. In particular, we apply attention, LIME and input
perturbation (IP).""",,,,,,,,,,,
Interpretable Question Answering on Knowledge Bases and Text,2019,ACL,https://arxiv.org/pdf/1906.10924.pdf,"Visualize: Table1.
Description: "" We adapt post hoc explanation methods such as
LIME and input perturbation (IP) and compare them with the self-explanatory attention
mechanism of the model. For this purpose, we
propose an automatic evaluation paradigm for
explanation methods in the context of QA""",,,,,,,,,,,
Interpretable Relevant Emotion Ranking with Event-Driven Attention,2019,EMNLP,https://www.aclweb.org/anthology/D19-1017.pdf,"Visualize:  Figure 1 & 4.
Description:   word-level Event-Driven Attention",,,,,,,,,,,
Interpretable Word Embeddings via Informative Priors,2019,EMNLP,https://www.aclweb.org/anthology/D19-1661.pdf,,,,,,,"Description:  ”The central idea of this paper is to use informative priors to restrict the degree to which different
words can inhabit different dimensions, such that
one or more dimensions become interpretable and
connected to one’s research interest. Specifically,
we place informative priors on word types that we
expect to discriminate on a particular dimension,
e.g. man-woman for a gender dimension.“",,,,,
Interpretation of Natural Language Rules in Conversational Machine Reading,2018,EMNLP,https://www.aclweb.org/anthology/D18-1233.pdf,,,,,"Visualize: Figure 2 & 3.
Description: ""We use different annotators (indicated by
different colors) to create the complete dialog tree.""
""The different stages of the annotation process (excluding the rule text extraction stage)""",,,,,,,
Interpretation of NLP models through input marginalization,2020,EMNLP,https://www.aclweb.org/anthology/2020.emnlp-main.255.pdf,"Visualize: Figure 2 & 3 & 4 & 5.
Description: ""Interpretation results of the proposed method. “+” and “-” in (a) denote the positive and negative classes
of the depicted sentences. “pre” and “hypo” in (b) denote premise and hypothesis of SNLI, respectively. Red and
blue colors denote positive and negative contributions to the denoted classes, respectively.""",,,,,,,,,,,
Interpreting Neural Network Hate Speech Classifiers,2018,EMNLP,https://www.aclweb.org/anthology/W18-5111.pdf,"Visualize: Figure2 & 3.
Description: "" Partial occlusion heatmaps of test examples demonstrating four types of errors made by the CNN-GRU
network. """,,,,,,,,,,,
Interpreting neural networks to improve politeness comprehension.,2016,EMNLP,https://www.aclweb.org/anthology/D16-1216.pdf,"Visualize: Figure1.
Description: ""we present several network visualizations based on activation clusters, first derivative saliency, and embedding space transformations, helping us automatically identify several subtle linguistics
markers of politeness theories.""",,,"Visualize: Figure2.
Description: ""we present several network visualizations based on activation clusters, first derivative saliency, and embedding space transformations, helping us automatically identify several subtle linguistics
markers of politeness theories.""",,,,,,,,
Interpreting Neural Networks with Nearest Neighbors,2018,BlackboxNLP,https://www.aclweb.org/anthology/W18-5416.pdf,"Visualize: Table 2 & 3.
Description: ""Comparison of interpretation approaches on SST test examples for the LSTM model. Blue
indicates positive impact and red indicates negative impact. Our method (Conformity leave-one-out) has
higher precision, rarely assigning importance to extraneous words such as “about” or “movie”.""",,,,,,,,,,,
Interpreting Open-Domain Modifiers: Decomposition of Wikipedia Categories into Disambiguated Property-Value Pairs,2020,EMNLP,https://www.aclweb.org/anthology/2020.emnlp-main.503.pdf,"Visualize: Figure 1, Table 5 & 6.
Description: "" Overview of annotation of modifier constituents within Wikipedia categories based on Wikidata properties and values""",,,,,,,,,,,
Interpreting Pretrained Contextualized Representations via Reductions to Static Embeddings,2020,ACL,https://www.aclweb.org/anthology/2020.acl-main.431.pdf,,,,,,,"Visualize:  None
Description: ""Due to the fact that we use mean-pooling, our approach may lend itself to interpretations of the bias in a model on average
across contexts.""

""While these works have provided nuanced finegrained analyses by creating new interpretability schema/techniques, we instead take an alternate approach of trying to re-purpose methods developed
for analyzing static word embeddings.""",,,,,
Interpreting recurrent and attention-based neural models: a case study on natural language inference,2018,EMNLP,https://arxiv.org/pdf/1808.03894.pdf,"Visualize: Figure1 & 2 & 5.
Description: ""we propose to interpret the intermediate layers of NLI models by visualizing the saliency of attention and LSTM gating signals.""",,,,,,,,,,,
Invariant Rationalization,2020,ICML,https://arxiv.org/pdf/2003.09772.pdf,"Visualize: Figure 1 & 4.
Description: ""An example beer review and possible rationales explaining why the score on the smell aspect is positive. ""
""An example beer review and possible rationales explaining why the score on the smell aspect is positive. """,,,,,,,,,,,
Investigating Robustness and Interpretability of Link Prediction via Adversarial Modifications,2019,NAACL,https://arxiv.org/pdf/1905.00563.pdf,,,,,"Visualize: Table 5. Figure1.
Description: ""Extracted Rules for identifying the most influential link. We extract the patterns that appear more
than 90% times in the neighborhood of the target triple.""",,,,,,,
Is attention interpretable?,2019,ACL,https://www.aclweb.org/anthology/P19-1282.pdf,"Visualize: None;
Description: ""Visualize Attention Weights""",,,,,,,,,,,
Iterative Recursive Attention Model for Interpretable Sequence Classification,2018,BlackboxNLP,https://www.aclweb.org/anthology/W18-5427.pdf,"Visualize: Figure 4 & 6.
Description: "" Visualization of attention across sentence
words (horizontal) and T=3 time steps (vertical).
The last T-1 columns contain the attention weights
over the result of the previous attentive query.""",,,,,,,,,,,
Joint Concept Learning and Semantic Parsing from Natural Language Explanations,2017,EMNLP,https://www.aclweb.org/anthology/D17-1161.pdf,,,,,,,"Visualize: Figure1.
Description: ""An example of the rationales extracted by different
models on the sentiment analysis task of beer reviews (appearance aspect).""",,,,,
KERMIT: Complementing Transformer Architectures with Encoders of Explicit Syntactic Interpretations,2020,EMNLP,https://www.aclweb.org/anthology/2020.emnlp-main.18.pdf,"Visualize: Figure 3.
Description: ""KERMITviz vs. BERTviz: Comparing interpretations over KERMIT and over BERT on two sample
sentences of Yelp Review where the word but is correlated or not with the final polarity.""",,"Visualize: Figure 3.
Description: ""KERMITviz vs. BERTviz: Comparing interpretations over KERMIT and over BERT on two sample
sentences of Yelp Review where the word but is correlated or not with the final polarity.""",,,,,,,,,
Knowledge Aware Conversation Generation with Explainable Reasoning over Augmented Graphs,2019,EMNLP,https://www.aclweb.org/anthology/D19-1187.pdf,,,"Visualize: Figure1.
Description: ""Sample conversation with explainable reasoning,
reflecting conversation flow, on an augmented knowledge
graph.""",,,,,,,,,
Latent alignment and variational attention,2018,NeuIPS,https://arxiv.org/pdf/1807.03756.pdf,"Visualize: Figure1 & 3.
Description: ""Sketch of variational attention applied to
machine translation. Two alignment distributions are
shown, the blue prior p, and the red variational posterior
q taking into account future observations. """,,,,,,,,,,,
Leakage-Adjusted Simulatability: Can Models Generate Non-Trivial Explanations of Their Behavior in Natural Language?,2020,EMNLP Findings,https://arxiv.org/pdf/2010.04119.pdf,,,,,,"Visualize: Figure 2 & 4.
Description: "": Inputs and outputs for the T5 Multi-task framework. In the reasoning mode, explanations are not conditioned on the model’s prediction, whereas in the rationalizing mode they are dependent on the model output""",,,,,,
LEAN-LIFE: A Label-Efficient Annotation Framework Towards Learning from Explanation,2020,ACL,https://www.aclweb.org/anthology/2020.acl-demos.42.pdf,"Visualize: Figure3.
Description: ""The workflow to annotate a NE label and trigger span""",,"Visualize: Figure1 & 5.
Description: ""The workflow to annotate a NE label and trigger span""",,,"Visualize: Figure4.
Description: ""The workflow to annotate a relation label and
NL explanation""",,,,,,
Learning concept embeddings for dataless classification via efficient bag-of-concepts densification,2019,Knowledge and Information Systems,https://arxiv.org/pdf/1702.03342.pdf,,,,,,,"Visualize: Table1 & 10.
Description: ""Top 3 concepts generated using ESA for two
20-newsgroups categories (Hockey and Guns) along with top 3 concepts of sample instances. Using exact match similarity scoring (as in ESA) result in low
scores between similar instance and category concept vectors. When using concept embeddings (our models), we obtain relatively higher and more representative
similarities.""",,,,,
Learning Corresponded Rationales for Text Matching,2019,ICLR,https://openreview.net/pdf?id=rklQas09tm,"Visualize: Figure1 & 3.
Description: "" Examples of the corresponded rationales for QA. Words highlighted in the same color
from the question and a passage is a paired rationale. “Galileo Galilei” is the correct answer since
two facts from the question are matched in its passage. On the other hand, the passage of “Isaac
Newton” does not cover the second fact, which makes it a wrong answer.""",,,,,,,,,,,
Learning credible deep neural networks with rationale regularization,2019,ICDM,https://arxiv.org/pdf/1908.05601.pdf,"Visualize: Figure1.
Description: ""Two examples of expert rationale: words marked with purple
color, for movie review and product review respectively.""

Visualize: Figure3.
Description: ""Sentence-level explanation heatmap comparison between
CREX and Vanilla DNN.""",,,,,,,,,,,
Learning Dynamics of Attention: Human Prior for Interpretable Machine Reasoning,2019,NeuIPS,https://arxiv.org/pdf/1905.11666.pdf,"Visualize: Figure 2 & 4.
Description: ""Attention maps for the question ""Are there more green blocks than shiny cubes?"" and its
accompanying image, the same data used to show attention logit map in Figure 2.""
"" (a) and (b) shows the actual softmax-ed textual and visual attention map which used to acquire the control vector and
the information vector in MAC and DAFT MAC, respectively.""",,,,,,,,,,,
Learning Explainable Linguistic Expressions with Neural Inductive Logic Programming for Sentence Classification,2020,EMNLP,https://www.aclweb.org/anthology/2020.emnlp-main.345.pdf,,,,,"Visualize: Figure 1 & 3 & 9 & 10.
Description: "" The models are in the form of rules expressed in
first-order logic, a dialect with well-defined,
human-understandable semantics. More precisely, RuleNN learns linguistic expressions
(LE) built on top of predicates extracted using shallow natural language understanding.""
"" Generating (c) facts and predicates from (a) shallow semantic parsing and (b) dictionaries""",,,,,,,
Learning Explanations from Language Data,2018,BlackboxNLP,https://arxiv.org/pdf/1808.04127.pdf,"Visualize: Figure 1 & 2.
Description: ""Contributions to positive classification.""",,,,,,,,,,,
Learning from Explanations with Neural Execution Tree,2020,ICLR,https://openreview.net/pdf?id=rJlUt0EYwS,,,,,"Visualize: Figure2.
Description: ""Natural language explanations are firstly parsed into
logical forms. ""

Visualize: Figure3.
Description: ""Neural Execution Tree (NExT) softly executes the logical form on the sentence.""",,,,,,,
Learning interpretable negation rules via weak supervision at document level: A reinforcement learning approach,2019,NAACL,https://www.research-collection.ethz.ch/bitstream/handle/20.500.11850/329832/2/N19-1038.pdf,,,,,"Description: "" our work presents
the first approach that eliminates the need for
word-level negation labels, replacing it instead with document-level sentiment annotations. For this, we present a novel strategy
for learning fully interpretable negation rules
via weak supervision: we apply reinforcement
learning to find a policy that reconstructs negation rules from sentiment predictions at document level.""",,,,,,,
"Learning Interpretable Relationships between Entities, Relations and Concepts via Bayesian Structure Learning on Open Domain Facts",2020,ACL,https://www.aclweb.org/anthology/2020.acl-main.717.pdf,,,"Description: ""we propose the task of learning interpretable relationships from open domain facts to enrich and refine concept graphs. The Bayesian network structures are learned from open domain facts as the interpretable relationships between relations of facts and concepts of entities.""",,,,"Description: ""we propose the task of learning interpretable relationships from open domain facts to enrich and refine concept graphs. The Bayesian network structures are learned from open domain facts as the interpretable relationships between relations of facts and concepts of entities.""",,,,,
Learning to Explain Entity Relationships in Knowledge Graphs,2015,ACL,https://www.aclweb.org/anthology/P15-1055.pdf,,,"Visualize: Table 5.
Description: "": Results for relationship-dependent models. Similar relationships are grouped together.""",,,,,,,,,
Learning to Explain: Answering Why-Questions via Rephrasing,2019,ACL,https://www.aclweb.org/anthology/W19-4113.pdf,,,,,,"Visualize: Figure1.
Description: "" we contribute to the under-explored area of generating natural language explanations for general phenomena. We automatically collect large datasets of
explanation-phenomenon pairs which allow us
to train sequence-to-sequence models to generate natural language explanations. """,,,,,,
Learning to Explain: Datasets and Models for Identifying Valid Reasoning Chains in Multihop Question-Answering,2020,EMNLP,https://arxiv.org/pdf/2010.03274.pdf,,,,,"Visualize: Figure 1 & 2 & 3 & 4.
Description: ""Reasoning Chain""
""Our datasets contain annotated (valid and invalid) reasoning chains in support of an answer, allowing explanation classifier models to be trained and applied. We also find that using a variabilized version of the chains improves the models’ robustness.""",,,,,,,
Learning Variational Word Masks to Improve the Interpretability of Neural Text Classifiers,2020,EMNLP,https://arxiv.org/pdf/2010.00667.pdf,"Visualize: Table 1 & 5.
Description: ""Model A and B are two neural text classifiers
with similar network architectures. They all make correct sentiment predictions on both texts (ex. 1: positive; ex. 2: negative). Two post-hoc explanation methods, LIME (Ribeiro et al., 2016) and SampleShapley
(Kononenko et al., 2010), are used to explain the model
predictions on example 1 and 2 respectively.""",,,,,,,,,"Word Cloud
Visualize: Figure 3.
Description: "" Word clouds of top 10 important words""",,
Lightly-supervised representation learning with global interpretability,2019,NAACL,https://www.aclweb.org/anthology/W19-1504.pdf,,,,"Visualize: Figure1 & 2.
Description: ""t-SNE visualizations of the entity embeddings at three stages during training.""",,,,,,,,
Linguistic Knowledge and Transferability of Contextual Representations,2019,NAACL,https://arxiv.org/pdf/1903.08855.pdf,,"Visualize: Figure3.
Description: 
"" A visualization of layerwise patterns in task
performance. Each column represents a probing task, and each row represents a contextualizer layer.""
""To shed light on the linguistic knowledge they capture, we study the representations produced by several recent pretrained contextualizers (variants
of ELMo, the OpenAI transformer language
model, and BERT) with a suite of seventeen
diverse probing tasks""",,,,,,,,,,
LISA: Explaining Recurrent Neural Network Judgments via Layer-wIse Semantic Accumulation and Example to Pattern Transformation,2018,BlackboxNLP,https://www.aclweb.org/anthology/W18-5418.pdf,"Description: ""we analyze and interpret the cumulative nature of RNN via a proposed technique named as Layer-wIse-Semantic-Accumulation (LISA)
for explaining decisions and detecting the
most likely (i.e., saliency) patterns that the network relies on while decision making.""",,,"Visualize: Figure3.
Description: "" t-SNE Visualization for training set""",,,,,,,,
Localizing Moments in Video With Natural Language,2017,ICCV,https://openaccess.thecvf.com/content_ICCV_2017/papers/Hendricks_Localizing_Moments_in_ICCV_2017_paper.pdf,,,,,,"Visualize: Figure 3 & 5.
Description: "" Example videos and annotations from our Distinct Describable Moments (DiDeMo) dataset. Annotators describe
moments with varied language (e.g., “A cat walks over two boxes” and “An orange cat walks out of a box”).""",,,,,,
Lstmvis: A tool for visual analysis of hidden state dynamics in recurrent neural networks,2017,IEEE transactions on visualization and computer graphics,https://arxiv.org/pdf/1606.07461.pdf,"Visualize: Figure1 (c) .
Description: ""To select, the user brushes over a range of words that form the pattern
of interest""",,"Visualize: Figure 1.
Description: ""(a). This range is then used to match similar hidden state patterns displayed in the Match View (b). The selection is made
by specifying a start-stop range in the text (c) and an activation threshold (t) which leads to a selection of hidden states (blue lines).""","Visualize: Figure 9.
Description: ""PCA projection of the hidden state patterns""","Visualize: Figure 1 & 8.
Description: ""Note that here groundtruth noun phrases are indicated with a sequence of colors: cyan (DET),
blue (ADV), violet (ADJ), red (NOUN).""",,,"Visualize: Figure 1 & 8.
Description: ""The tool allows users to select a hypothesis input range to focus on local state changes, to match these states changes to similar patterns in a large data set,""",,,,
"Machine Guides, Human Supervises: Interactive Learning with Global Explanations",2020,Arxiv,https://arxiv.org/pdf/2009.09723.pdf,,,,"Decision Surface/Decesion Boundary:
Visualize: Figure 1.
Description: ""Left: uncertainty-based AL queries points (circled in yellow) around known red clusters and ignores the unknown ones, even after 140 iterations.""",,,,,,,,
MathQA: Towards interpretable math word problem solving with operation-based formalisms. ,2019,NAACL,https://www.aclweb.org/anthology/N19-1245.pdf,,,,,"Visualize: Figure1 & 2 & 5.
Description: ""We introduce a large-scale dataset of math word problems and an interpretable neural
math problem solver that learns to map problems to operation programs.""",,,,,,,
Modeling Paths for Explainable Knowledge Base Completion ,2019,ACL,https://www.aclweb.org/anthology/W19-4816.pdf,,,"Visualize: Table4.
Description: "" Examples of triple–path pairs, with entities in boldface, and simplified freebase relations. Incorrect
triples/paths marked with ∗, and point of corruption marked.""",,,,,,,,,
Multi-Granular Text Encoding for Self-Explaining Categorization,2019,ACL,https://www.aclweb.org/anthology/W19-4805.pdf,"Visualize: Table1.
Description: ""A popular type of evidence
is sub-sequences extracted from the input text
which are sufficient for the classifier to make
the prediction.""",,"Visualize: Figure2.
Description: "" we define multigranular ngrams as basic units for explanation,
and organize all ngrams into a hierarchical
structure, so that shorter ngrams can be reused
while computing longer ngrams. We leverage a tree-structured LSTM to learn a contextindependent representation for each unit via
parameter sharing.""",,,,,,,,,
Multi-hop question answering via reasoning chains,2019,Arxiv,https://arxiv.org/pdf/1910.02610.pdf,,,"Visualize: Figure1.
Description: ""A multi-hop example chosen from the HotpotQA development set. Several documents are given as context to answer a question. We show two possible “reasoning chains” that leverage connections (shared entities or coreference relations) between sentences to arrive at the answer. The first chain is most appropriate, while the second requires a less well-supported inferential leap.""",,,,,,,,,
Multimodal language analysis in the wild: Cmu-mosei dataset and interpretable dynamic fusion graph,2018,ACL,https://www.aclweb.org/anthology/P18-1208.pdf,,,"Visualize: Figure 5.
Description: ""Intrinsically human communication is multimodal (heterogeneous), temporal and
asynchronous; it consists of the language (words), visual (expressions), and acoustic
(paralinguistic) modalities all in the form of asynchronous coordinated sequences.
From a resource perspective, there is a genuine need for large scale datasets that allow for in-depth studies of multimodal language""",,,,,,,"Word Cloud.
Visualize: Figure1.
Description: ""The diversity of topics of videos in CMUMOSEI, displayed as a word cloud. Larger words indicate more videos from that topic.""",,
Multimodal Routing: Improving Local and Global Interpretability of Multimodal Language Analysis,2020,EMNLP,https://arxiv.org/pdf/2004.14198.pdf,,,,,,,"Visualize: Figure 1 & 3.
Description: ""Overview of Multimodal Routing, which contains encoding, routing, and prediction stages. We consider only two input modalities in this example. The encoding stage computes unimodal and bimodal explanatory features with the inputs from different modalities. The routing stage iteratively performs concepts update and routing adjustment. The prediction stage decodes the concepts to the model’s prediction.""",,,,,
Natural Language Rationales with Full-Stack Visual Reasoning: From Pixels to Semantic Frames to Commonsense Graphs,2020,EMNLP,https://arxiv.org/pdf/2010.07526.pdf,,,,,,"Visualize: Figure4 & 1.
Description: ""An illustrative example showing that explaining higher-level conceptual reasoning cannot be well conveyed only through the attribution of raw input features (individual pixels or words); we need natural language.""",,,,,,
Neural vector conceptualization for word vector space interpretation,2019,NAACL,https://www.aclweb.org/anthology/W19-2001.pdf,,,,,,,"Visualize:  Figure1 & 2
Description:  "" we train a neural model to conceptualize word vectors,
which means that it activates higher order concepts it recognizes in a given vector. C""",,,,,
No Explainability without Accountability: An Empirical Study of Explanations and Feedback in Interactive ML,2020,CHI,https://homes.cs.washington.edu/~weld/papers/smith-renner-chi20.pdf,"Visualize: Figure1.
Description: "" an email in the “interaction phase” for a participant in the feature-level feedback and explanation condition (E-F).""",,,,,,,,,,,
Obtaining Faithful Interpretations from Compositional Neural Networks,2020,ACL,https://www.aclweb.org/anthology/2020.acl-main.495.pdf,,,,,"Visualize: Figure2.
Description: "" An example for a mapping of an utterance to a gold program and a perfect execution in a reasoning problem""",,,,,,,
Open Sesame: Getting Inside BERT's Linguistic Knowledge,2019,BlackboxNLP,https://www.aclweb.org/anthology/W19-4825.pdf,,"Description: ""We proceed in two ways. The first involves the
use of diagnostic classifiers (Hupkes et al., 2018)
to probe the presence of hierarchical and linear
properties in the representations of words.""
",,,,,,,,,,
